epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9333.84,1.80661,1.10584,1.43329,0.54259,0.19396,0.16953,0.07166,2.0775,1.65856,1.8343,0.000424187,0.000424187,0.000424187
43,9569.65,1.75188,1.05049,1.41019,0.5667,0.1668,0.17381,0.07533,2.04983,1.67538,1.81969,0.000417119,0.000417119,0.000417119
44,9811.79,1.788,1.07728,1.3968,0.43775,0.18393,0.1686,0.07223,2.06344,1.66529,1.83918,0.00041005,0.00041005,0.00041005
45,10052.3,1.76569,1.08876,1.43996,0.43577,0.18558,0.16893,0.07105,2.05368,1.69867,1.83824,0.000402982,0.000402982,0.000402982
46,10294.1,1.80395,1.10033,1.4271,0.50526,0.19332,0.17688,0.07026,2.09234,1.64103,1.86148,0.000395913,0.000395913,0.000395913
47,10531.8,1.76163,1.06589,1.41934,0.52015,0.20978,0.18438,0.0772,2.04099,1.65978,1.81895,0.000388844,0.000388844,0.000388844
48,10768.9,1.76803,1.09659,1.39451,0.52474,0.19098,0.18158,0.07461,2.06648,1.60576,1.81317,0.000381776,0.000381776,0.000381776
49,11009,1.76279,1.08067,1.43146,0.53029,0.19366,0.18384,0.07976,2.05268,1.60631,1.80362,0.000374707,0.000374707,0.000374707
50,11250.1,1.72617,1.02278,1.38931,0.62294,0.1733,0.1725,0.07407,2.06639,1.66631,1.82448,0.000367639,0.000367639,0.000367639
51,11489.8,1.73648,1.03316,1.39745,0.55606,0.21269,0.19681,0.07636,2.03313,1.6038,1.77763,0.00036057,0.00036057,0.00036057
52,11725.5,1.7256,1.04206,1.40381,0.62093,0.1921,0.19767,0.08511,2.0246,1.5725,1.78992,0.000353501,0.000353501,0.000353501
53,11965.3,1.74537,1.04461,1.40843,0.56997,0.20845,0.19916,0.08467,2.06968,1.58691,1.79841,0.000346433,0.000346433,0.000346433
54,12208,1.7297,1.03416,1.39348,0.54145,0.2063,0.18955,0.08207,2.00901,1.54481,1.76499,0.000339364,0.000339364,0.000339364
55,12448.5,1.70588,1.03088,1.36821,0.67619,0.19698,0.19964,0.08441,2.00854,1.56205,1.77781,0.000332296,0.000332296,0.000332296
56,12683.9,1.70544,1.02034,1.38843,0.52442,0.22288,0.18456,0.07807,2.03508,1.6365,1.80075,0.000325227,0.000325227,0.000325227
57,12922.5,1.70682,1.02472,1.379,0.55644,0.19685,0.1937,0.07803,2.05778,1.58818,1.79146,0.000318158,0.000318158,0.000318158
58,13162.7,1.70888,1.05168,1.39743,0.53554,0.22389,0.1944,0.07844,2.08958,1.57159,1.78705,0.00031109,0.00031109,0.00031109
