                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.9019,                 1.0828,                  1.501,                 0.4849,                0.21542,                0.16569,                0.06208,                  2.212,                 1.6708,                 1.9561,              0.0004878,              0.0004878,              0.0004878
                     35,                 1.9117,                 1.0724,                 1.4945,                0.53852,                0.18004,                0.15944,                 0.0643,                 2.2004,                 1.6436,                 1.9399,             0.00048074,             0.00048074,             0.00048074
                     36,                 1.9017,                 1.0799,                 1.5226,                0.42955,                0.16605,                0.16651,                0.06429,                 2.2238,                 1.7035,                 1.9366,             0.00047367,             0.00047367,             0.00047367
                     37,                 1.8868,                 1.0614,                 1.4915,                0.57312,                0.18356,                0.16761,                 0.0641,                  2.202,                 1.6138,                 1.9643,              0.0004666,              0.0004666,              0.0004666
                     38,                 1.9004,                 1.0866,                 1.4874,                0.46357,                0.17724,                0.15711,                0.06087,                 2.2535,                 1.6873,                 1.9715,             0.00045953,             0.00045953,             0.00045953
                     39,                 1.8734,                 1.0687,                 1.4966,                0.55067,                0.18699,                0.17049,                0.06686,                 2.1894,                 1.6373,                  1.946,             0.00045246,             0.00045246,             0.00045246
                     40,                 1.8435,                 1.0253,                 1.4601,                0.59864,                0.17879,                0.18545,                0.06964,                 2.1732,                 1.5858,                 1.9289,             0.00044539,             0.00044539,             0.00044539
                     41,                 1.8393,                 1.0255,                 1.4702,                0.56771,                0.17707,                0.17632,                0.06798,                 2.1521,                 1.5782,                 1.9034,             0.00043832,             0.00043832,             0.00043832
                     42,                 1.8707,                 1.0263,                  1.468,                0.61201,                0.18718,                0.18468,                0.06944,                 2.1697,                 1.5791,                 1.9353,             0.00043126,             0.00043126,             0.00043126
                     43,                 1.8574,                 1.0267,                 1.4606,                0.38793,                0.16877,                0.16306,                0.06367,                 2.1346,                 1.5886,                 1.8985,             0.00042419,             0.00042419,             0.00042419
                     44,                 1.8626,                 1.0401,                 1.4882,                0.43664,                0.19248,                 0.1634,                0.06342,                 2.1713,                 1.5916,                 1.9225,             0.00041712,             0.00041712,             0.00041712
                     45,                 1.8539,                 1.0183,                  1.455,                0.49603,                0.20698,                0.16233,                0.06269,                 2.2262,                 1.5589,                 1.9542,             0.00041005,             0.00041005,             0.00041005
                     46,                 1.8421,                 1.0066,                 1.4561,                0.58589,                0.19326,                0.19002,                0.07437,                 2.1455,                 1.5402,                  1.901,             0.00040298,             0.00040298,             0.00040298
                     47,                 1.8124,                0.98907,                 1.4487,                 0.5657,                0.20292,                0.18841,                0.07339,                  2.166,                 1.5077,                 1.9318,             0.00039591,             0.00039591,             0.00039591
                     48,                 1.8003,                0.97781,                 1.4278,                 0.5669,                0.20057,                0.18498,                 0.0708,                 2.1976,                 1.5281,                 1.9713,             0.00038884,             0.00038884,             0.00038884
                     49,                 1.8089,                0.99483,                 1.4284,                0.55796,                0.20098,                0.18715,                0.07213,                 2.1547,                 1.4698,                 1.9561,             0.00038178,             0.00038178,             0.00038178
                     50,                 1.7869,                0.98955,                  1.418,                0.54178,                0.20317,                0.18447,                0.07023,                 2.1517,                 1.5622,                 1.9105,             0.00037471,             0.00037471,             0.00037471
                     51,                 1.8279,                 1.0322,                 1.4533,                0.58788,                 0.1821,                0.18606,                0.07306,                 2.1444,                 1.5046,                 1.9435,             0.00036764,             0.00036764,             0.00036764
                     52,                 1.7797,                 0.9782,                 1.4208,                0.53935,                0.21448,                0.18568,                 0.0722,                 2.1618,                  1.489,                 1.9306,             0.00036057,             0.00036057,             0.00036057
                     53,                 1.7785,                0.96488,                 1.4108,                0.55139,                0.21536,                0.18763,                0.07276,                 2.1137,                 1.5107,                 1.8903,              0.0003535,              0.0003535,              0.0003535
                     54,                 1.7617,                0.94909,                  1.411,                0.55698,                0.19512,                0.19242,                0.07308,                 2.1409,                 1.4532,                 1.8954,             0.00034643,             0.00034643,             0.00034643
                     55,                 1.7814,                0.94738,                 1.4061,                0.56357,                0.22027,                0.19796,                0.07884,                 2.1024,                 1.4431,                 1.8867,             0.00033936,             0.00033936,             0.00033936
                     56,                 1.7798,                 0.9563,                 1.3825,                0.56998,                0.20047,                 0.1943,                0.07605,                 2.1317,                 1.4655,                    1.9,              0.0003323,              0.0003323,              0.0003323
                     57,                 1.7717,                0.98903,                 1.4181,                0.56998,                0.21736,                0.20043,                0.08111,                 2.0759,                 1.4778,                 1.8747,             0.00032523,             0.00032523,             0.00032523
                     58,                 1.7366,                0.96415,                 1.3925,                0.54381,                0.20142,                0.18412,                0.07497,                  2.098,                 1.4891,                 1.8679,             0.00031816,             0.00031816,             0.00031816
                     59,                 1.7607,                0.95269,                 1.3918,                0.58704,                0.20872,                0.20124,                0.07778,                 2.1168,                 1.4521,                 1.9025,             0.00031109,             0.00031109,             0.00031109
                     60,                 1.7295,                 0.9355,                 1.3916,                0.58758,                0.21664,                0.20528,                0.08069,                 2.1136,                 1.4081,                 1.8914,             0.00030402,             0.00030402,             0.00030402
                     61,                 1.7538,                0.94523,                 1.4128,                0.61654,                0.20412,                0.20547,                0.07734,                  2.075,                 1.4569,                 1.8498,             0.00029695,             0.00029695,             0.00029695
                     62,                 1.7355,                0.93319,                 1.3906,                0.56275,                 0.2156,                0.21138,                0.08499,                 2.0432,                 1.4442,                 1.8469,             0.00028988,             0.00028988,             0.00028988
                     63,                  1.726,                0.91782,                 1.3609,                0.57101,                0.22126,                0.20644,                0.08147,                 2.0993,                 1.4669,                 1.8851,             0.00028282,             0.00028282,             0.00028282
                     64,                 1.7356,                0.92043,                 1.3872,                0.60802,                0.20594,                0.20789,                0.08059,                  2.097,                 1.4521,                 1.8662,             0.00027575,             0.00027575,             0.00027575
                     65,                 1.7325,                0.92056,                 1.3615,                0.61167,                 0.2054,                0.20701,                0.08357,                  2.057,                 1.4232,                 1.8651,             0.00026868,             0.00026868,             0.00026868
                     66,                 1.6985,                0.90989,                 1.3565,                0.57781,                0.22253,                 0.1997,                0.08062,                 2.0793,                 1.4755,                 1.8637,             0.00026161,             0.00026161,             0.00026161
                     67,                 1.7004,                0.92265,                 1.3456,                 0.5836,                0.20342,                0.20574,                0.08331,                 2.0816,                 1.4061,                 1.8898,             0.00025454,             0.00025454,             0.00025454
                     68,                 1.7112,                0.91443,                 1.3668,                0.60608,                0.21287,                0.20618,                0.08537,                 2.0842,                 1.3914,                  1.893,             0.00024747,             0.00024747,             0.00024747
                     69,                 1.7316,                0.93623,                 1.3793,                0.47316,                0.23569,                 0.2059,                0.08355,                 2.0546,                 1.4337,                  1.862,              0.0002404,              0.0002404,              0.0002404
                     70,                 1.7197,                0.93109,                 1.3795,                0.56898,                0.21982,                0.20748,                0.08438,                 2.0472,                 1.4234,                 1.8525,             0.00023334,             0.00023334,             0.00023334
                     71,                 1.7053,                0.89766,                 1.3579,                0.58043,                0.21591,                0.20772,                0.08374,                 2.0549,                 1.3796,                 1.8564,             0.00022627,             0.00022627,             0.00022627
                     72,                 1.7074,                0.90879,                 1.3601,                0.57845,                0.22698,                0.21717,                0.08631,                 2.0372,                 1.3505,                 1.8551,              0.0002192,              0.0002192,              0.0002192
                     73,                 1.7007,                0.92327,                 1.3584,                 0.5973,                0.20529,                0.21873,                0.08516,                 2.0791,                 1.4089,                 1.8822,             0.00021213,             0.00021213,             0.00021213
