                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0463,                 3.4368,                 3.4561,                  6e-05,                0.00117,                  3e-05,                  1e-05,                 5.3972,                 6.8061,                 4.2809,                 0.0026,                 0.0026,                 0.0026
                      2,                 3.1827,                 2.6393,                 2.6003,                0.00485,                0.03425,                0.00355,                0.00132,                 3.8664,                 4.5066,                 3.4024,              0.0042506,              0.0042506,              0.0042506
                      3,                 3.0132,                  2.343,                    2.3,                0.00505,                0.03819,                0.00407,                0.00167,                 3.6631,                 18.414,                 3.2572,               0.004832,               0.004832,               0.004832
                      4,                 2.8844,                 2.2002,                 2.1432,                0.55584,                0.02816,                0.03567,                0.01287,                 3.0329,                 3.1267,                 2.5248,                0.00406,                0.00406,                0.00406
                      5,                 2.8073,                 2.1117,                 2.0768,                0.24643,                0.04378,                0.04465,                0.02034,                 2.7075,                 2.6675,                 2.2978,                0.00406,                0.00406,                0.00406
