                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.7761,                 1.0231,                 1.3967,                0.53939,                0.14908,                0.18202,                0.07077,                 2.1008,                 1.6228,                 1.8391,               0.006733,               0.006733,               0.006733
                     36,                 1.7473,                 1.0177,                 1.4184,                0.49354,                0.19678,                0.19661,                0.08506,                 2.0084,                 1.5757,                 1.7825,               0.006634,               0.006634,               0.006634
                     37,                 1.7347,                0.98805,                 1.3882,                0.58201,                0.19432,                0.17759,                0.07244,                 2.0149,                 1.5827,                  1.822,               0.006535,               0.006535,               0.006535
                     38,                 1.7078,                 1.0057,                 1.3668,                0.50595,                0.17729,                0.18565,                0.08047,                 1.9855,                 1.5614,                 1.8038,               0.006436,               0.006436,               0.006436
                     39,                 1.7163,                 0.9859,                 1.3919,                0.54852,                0.21002,                0.18982,                0.07701,                 2.1317,                 1.6116,                 1.8588,               0.006337,               0.006337,               0.006337
                     40,                 1.6771,                0.96932,                 1.3575,                0.53923,                0.17229,                0.20494,                0.08808,                 1.9492,                 1.4661,                 1.7667,               0.006238,               0.006238,               0.006238
                     41,                 1.6938,                0.96661,                 1.3765,                0.50251,                0.18753,                0.18894,                0.08553,                 1.9804,                  1.608,                 1.7866,               0.006139,               0.006139,               0.006139
                     42,                 1.7039,                0.94954,                 1.3649,                0.64086,                0.15949,                0.19498,                0.08505,                 2.0367,                 1.6986,                 1.7987,                0.00604,                0.00604,                0.00604
                     43,                 1.7041,                0.95091,                 1.3621,                  0.551,                0.19683,                0.19257,                0.08316,                  1.951,                 1.5231,                 1.7624,               0.005941,               0.005941,               0.005941
                     44,                 1.6987,                0.97294,                 1.3911,                0.34105,                0.15984,                0.12158,                0.05358,                 2.0924,                  1.745,                 1.8785,               0.005842,               0.005842,               0.005842
                     45,                 1.6664,                0.95259,                 1.3454,                0.65632,                0.23175,                0.19977,                0.09021,                 1.9234,                 1.4563,                 1.7472,               0.005743,               0.005743,               0.005743
                     46,                 1.6561,                0.92821,                 1.3493,                0.55922,                0.18269,                0.20206,                0.09111,                  1.908,                 1.4658,                 1.7392,               0.005644,               0.005644,               0.005644
                     47,                 1.6646,                0.92089,                  1.358,                0.63236,                0.19889,                0.18016,                0.07933,                 1.9745,                  1.502,                 1.7818,               0.005545,               0.005545,               0.005545
                     48,                  1.637,                0.91337,                  1.331,                0.59426,                0.20879,                0.20906,                0.08496,                 2.0074,                 1.5702,                 1.8104,               0.005446,               0.005446,               0.005446
                     49,                 1.6616,                0.92453,                 1.3456,                0.59993,                  0.196,                0.21373,                0.09702,                  1.919,                 1.4141,                 1.7692,               0.005347,               0.005347,               0.005347
                     50,                 1.6517,                0.92552,                 1.3384,                0.42889,                0.21766,                0.20235,                   0.09,                 1.9325,                 1.4402,                 1.7712,               0.005248,               0.005248,               0.005248
                     51,                 1.6656,                0.96324,                 1.3574,                 0.7455,                0.20077,                0.21301,                 0.0972,                 1.9193,                 1.4205,                 1.7435,               0.005149,               0.005149,               0.005149
                     52,                 1.6166,                0.90163,                 1.3257,                0.63507,                0.21908,                 0.2075,                0.09267,                 1.9576,                 1.3906,                 1.7716,                0.00505,                0.00505,                0.00505
                     53,                 1.6124,                0.87672,                 1.3154,                0.50721,                0.23982,                0.19553,                0.09535,                  1.894,                 1.4138,                 1.7475,               0.004951,               0.004951,               0.004951
                     54,                 1.6135,                0.88071,                 1.3246,                0.55288,                0.23912,                0.20698,                0.08891,                 1.9307,                 1.4007,                 1.7464,               0.004852,               0.004852,               0.004852
                     55,                 1.6189,                0.87339,                 1.3155,                0.63251,                0.22554,                0.20245,                0.09279,                 1.8921,                 1.4468,                 1.7169,               0.004753,               0.004753,               0.004753
                     56,                 1.5994,                0.87395,                 1.2882,                0.68298,                0.17437,                0.21287,                0.09762,                 1.8762,                 1.4262,                 1.7188,               0.004654,               0.004654,               0.004654
                     57,                 1.6205,                0.91566,                 1.3281,                 0.5082,                0.21447,                0.21492,                0.09386,                 1.8972,                 1.3903,                 1.7228,               0.004555,               0.004555,               0.004555
                     58,                 1.5999,                0.88538,                   1.31,                0.53338,                0.21274,                0.20911,                0.09722,                 1.9234,                 1.3938,                 1.7255,               0.004456,               0.004456,               0.004456
                     59,                  1.593,                0.85505,                 1.3007,                0.63681,                 0.2238,                0.23624,                0.10263,                 1.8794,                 1.3432,                 1.7385,               0.004357,               0.004357,               0.004357
                     60,                 1.5785,                  0.853,                 1.3055,                 0.5206,                0.24116,                 0.2042,                0.09297,                  1.938,                 1.4078,                 1.7463,               0.004258,               0.004258,               0.004258
                     61,                 1.5958,                0.86689,                 1.3248,                0.60482,                0.20848,                0.22579,                0.10338,                 1.8942,                 1.3675,                 1.7313,               0.004159,               0.004159,               0.004159
                     62,                 1.5836,                0.85389,                 1.3061,                0.57531,                0.22401,                0.22047,                0.10092,                 1.8948,                  1.373,                 1.7291,                0.00406,                0.00406,                0.00406
                     63,                 1.5632,                  0.844,                  1.272,                0.53593,                0.24124,                0.23471,                0.10627,                 1.8457,                 1.3509,                 1.7183,               0.003961,               0.003961,               0.003961
