                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 9.7894,                 5.1256,                 2.9968,                0.57831,                0.00803,                0.00314,                0.00079,                 8.4415,                 4.8813,                 2.8596,              0.0033256,              0.0033256,              0.0033256
                      2,                 7.5442,                 4.4138,                 2.4768,                0.50831,                0.01602,                0.00797,                0.00299,                 7.7735,                 4.5005,                  2.562,               0.006593,               0.006593,               0.006593
                      3,                  6.835,                  4.085,                 2.1958,                 0.6631,                0.02173,                0.01441,                0.00577,                 7.1162,                 4.3125,                 2.3174,              0.0097944,              0.0097944,              0.0097944
                      4,                 6.4965,                 3.8914,                 2.0087,                0.47299,                0.03793,                0.02247,                0.01021,                  6.738,                 4.0349,                 2.1591,               0.009703,               0.009703,               0.009703
                      5,                 6.1153,                 3.6982,                 1.9038,                0.52913,                0.04973,                0.03352,                0.01517,                 6.3168,                 3.7791,                 2.0545,               0.009703,               0.009703,               0.009703
                      6,                 5.7885,                 3.5865,                  1.851,                 0.4525,                0.04033,                 0.0348,                0.01686,                  6.095,                 3.6641,                 2.0006,               0.009604,               0.009604,               0.009604
                      7,                 5.6631,                 3.4678,                 1.8022,                0.34533,                 0.0741,                0.04555,                0.02225,                 5.9307,                 3.5464,                 1.9617,               0.009505,               0.009505,               0.009505
                      8,                 5.6366,                 3.3558,                 1.7669,                0.37382,                 0.0828,                0.05139,                0.02562,                 5.8004,                 3.4363,                 1.8968,               0.009406,               0.009406,               0.009406
                      9,                 5.5414,                 3.2903,                 1.7509,                0.36491,                0.07751,                0.05633,                0.02824,                 5.7874,                 3.3264,                 1.8908,               0.009307,               0.009307,               0.009307
                     10,                 5.4469,                 3.2163,                 1.7287,                0.32087,                0.09369,                 0.0634,                0.03334,                 5.7243,                 3.2461,                 1.8766,               0.009208,               0.009208,               0.009208
                     11,                 5.3341,                 3.1601,                 1.7102,                0.30756,                0.09783,                0.06814,                0.03577,                   5.64,                 3.1704,                  1.848,               0.009109,               0.009109,               0.009109
                     12,                 5.3393,                 3.1289,                 1.6964,                0.37208,                0.09954,                0.06918,                0.03625,                 5.5815,                 3.1617,                 1.8329,                0.00901,                0.00901,                0.00901
                     13,                  5.276,                 3.0644,                 1.6797,                0.33398,                0.11767,                0.08087,                0.04371,                 5.4873,                 3.0518,                 1.8014,               0.008911,               0.008911,               0.008911
                     14,                 5.2458,                 3.0337,                 1.6667,                0.28563,                0.11457,                0.08467,                0.04635,                 5.5672,                 3.0273,                  1.791,               0.008812,               0.008812,               0.008812
                     15,                 5.2717,                 2.9959,                  1.661,                0.33595,                0.12736,                0.08496,                0.04692,                  5.596,                 3.0033,                 1.7781,               0.008713,               0.008713,               0.008713
                     16,                 5.1844,                 2.9459,                 1.6438,                0.31239,                  0.127,                0.09308,                0.04911,                 5.4036,                 2.9448,                 1.7773,               0.008614,               0.008614,               0.008614
                     17,                 5.1382,                 2.9262,                 1.6362,                0.29533,                0.12285,                0.08974,                0.04955,                 5.3754,                 2.9464,                 1.7667,               0.008515,               0.008515,               0.008515
                     18,                 5.1184,                 2.8871,                  1.621,                0.31447,                0.12855,                0.09867,                0.05474,                 5.3785,                 2.8597,                 1.7463,               0.008416,               0.008416,               0.008416
                     19,                 5.0525,                 2.8585,                 1.6153,                0.25066,                0.14161,                 0.1014,                0.05705,                 5.3528,                 2.8372,                 1.7442,               0.008317,               0.008317,               0.008317
                     20,                 5.0163,                 2.8308,                 1.6031,                0.30206,                0.14681,                0.11022,                0.06274,                 5.3332,                 2.7756,                 1.7235,               0.008218,               0.008218,               0.008218
                     21,                 4.9747,                 2.8007,                  1.601,                0.30208,                0.14595,                0.10728,                0.05878,                 5.3499,                 2.8046,                 1.7245,               0.008119,               0.008119,               0.008119
                     22,                  4.989,                  2.766,                 1.5911,                0.24918,                0.15433,                0.11094,                 0.0627,                 5.3655,                    2.8,                 1.7051,                0.00802,                0.00802,                0.00802
                     23,                 4.9374,                 2.7686,                 1.5872,                0.31692,                0.14873,                0.11832,                0.06771,                 5.3243,                 2.7414,                 1.7107,               0.007921,               0.007921,               0.007921
                     24,                 4.9854,                 2.7422,                 1.5787,                0.27283,                0.15565,                0.11887,                0.06806,                 5.2171,                 2.7224,                 1.7106,               0.007822,               0.007822,               0.007822
                     25,                 4.9272,                 2.7289,                 1.5808,                0.29935,                0.16826,                0.12561,                0.07113,                 5.2084,                 2.6792,                 1.6921,               0.007723,               0.007723,               0.007723
                     26,                 4.8537,                 2.7046,                 1.5732,                 0.3108,                  0.154,                0.12588,                0.07167,                 5.2435,                 2.6852,                 1.6869,               0.007624,               0.007624,               0.007624
                     27,                 4.8209,                 2.6917,                 1.5647,                0.28003,                0.16811,                0.13566,                0.07753,                 5.1741,                 2.6576,                 1.6896,               0.007525,               0.007525,               0.007525
                     28,                 4.8887,                 2.6666,                  1.555,                 0.2955,                0.16973,                0.13318,                0.07799,                 5.1401,                 2.6374,                 1.6646,               0.007426,               0.007426,               0.007426
                     29,                 4.8415,                 2.6372,                 1.5549,                0.28454,                0.17166,                0.13885,                0.07957,                 5.1615,                 2.6014,                 1.6646,               0.007327,               0.007327,               0.007327
                     30,                 4.8543,                 2.6185,                  1.547,                0.31517,                0.16818,                0.13996,                0.08225,                 5.1236,                 2.6055,                 1.6637,               0.007228,               0.007228,               0.007228
                     31,                 4.7547,                 2.5986,                 1.5444,                0.30666,                0.17789,                0.14505,                0.08582,                 5.0716,                  2.568,                 1.6578,               0.007129,               0.007129,               0.007129
                     32,                  4.758,                 2.5852,                 1.5373,                0.26914,                0.18111,                0.14386,                0.08436,                  5.099,                 2.5656,                 1.6666,                0.00703,                0.00703,                0.00703
                     33,                 4.7661,                 2.5828,                 1.5338,                0.29858,                0.18534,                0.15099,                 0.0893,                 5.0826,                 2.5635,                 1.6506,               0.006931,               0.006931,               0.006931
                     34,                 4.6685,                 2.5593,                 1.5298,                0.32642,                 0.1857,                0.15532,                0.08857,                 5.0895,                 2.5366,                  1.657,               0.006832,               0.006832,               0.006832
                     35,                 4.6434,                 2.5561,                 1.5275,                0.31763,                0.19229,                0.15922,                0.09404,                 5.0364,                 2.5227,                 1.6387,               0.006733,               0.006733,               0.006733
                     36,                 4.6524,                 2.5277,                 1.5209,                 0.2978,                0.19664,                0.15818,                 0.0933,                 5.0326,                 2.5177,                  1.639,               0.006634,               0.006634,               0.006634
                     37,                 4.6425,                 2.5294,                 1.5229,                0.30231,                0.19219,                 0.1588,                0.09348,                  4.987,                 2.4881,                 1.6274,               0.006535,               0.006535,               0.006535
                     38,                 4.6569,                  2.513,                 1.5146,                0.28009,                0.19597,                0.16159,                0.09555,                  4.929,                 2.4859,                  1.621,               0.006436,               0.006436,               0.006436
                     39,                 4.5778,                 2.4874,                 1.5087,                0.30147,                0.20461,                  0.166,                0.09817,                 4.9502,                 2.4644,                 1.6239,               0.006337,               0.006337,               0.006337
