epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,271.84,77.8007,5.30277,4.22128,3e-05,0.01257,4e-05,1e-05,53.7671,6.13352,4.17033,0.0026,0.0026,0.0026
2,456.449,50.3157,4.73484,4.06095,3e-05,0.01257,2e-05,0,61.3706,6.39696,4.26104,0.00524753,0.00524753,0.00524753
3,636.695,28.0808,3.42836,3.36043,3e-05,0.01257,1e-05,0,75.4587,6.91832,4.3688,0.0078416,0.0078416,0.0078416
4,814.523,22.3205,2.92642,2.87084,3e-05,0.0126,8e-05,1e-05,70.8295,7.07934,3.78357,0.009703,0.009703,0.009703
5,993.792,17.4191,2.68257,2.63332,0.91839,0.01238,0.00839,0.00205,22.6281,4.39566,3.06087,0.009604,0.009604,0.009604
6,1181.69,14.2236,2.39315,2.43779,0.1157,0.0221,0.00841,0.00257,15.0647,4.29443,2.88168,0.009505,0.009505,0.009505
7,1369.28,11.5892,2.21047,2.22563,0.73162,0.02884,0.02025,0.00627,13.1556,4.20722,2.66061,0.009406,0.009406,0.009406
8,1559.12,10.1962,2.14767,2.05367,0.95739,0.02473,0.02605,0.00747,20.9687,4.98664,2.78725,0.009307,0.009307,0.009307
9,1754.64,9.11706,1.98906,1.92216,0.85868,0.03842,0.04346,0.01709,10.1506,3.73375,2.37014,0.009208,0.009208,0.009208
10,1950.06,7.91603,1.8585,1.82186,0.85571,0.05885,0.05948,0.02251,8.31389,3.28163,2.24558,0.009109,0.009109,0.009109
11,2146.2,7.14233,1.74839,1.74648,0.75484,0.04687,0.04456,0.01749,11.2299,3.19087,2.27975,0.00901,0.00901,0.00901
12,2393.26,6.72903,1.70646,1.72338,0.78245,0.08502,0.07087,0.02508,7.52919,2.61602,2.1898,0.008911,0.008911,0.008911
13,2596.4,6.50118,1.60969,1.67357,0.80167,0.0837,0.08645,0.03376,6.88365,2.75327,2.11041,0.008812,0.008812,0.008812
14,2802.43,6.09249,1.54422,1.64148,0.66847,0.11468,0.07272,0.02911,7.55459,2.69364,2.13502,0.008713,0.008713,0.008713
