                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.1125,                 5.2954,                 4.2071,                  4e-05,                0.01367,                0.00013,                  3e-05,                 5.2503,                 6.3673,                 4.1495,                 0.0026,                 0.0026,                 0.0026
                      2,                 4.6762,                 4.1463,                 3.9261,                  4e-05,                0.02792,                  2e-05,                      0,                 5.2576,                 6.3935,                 4.1552,              0.0052475,              0.0052475,              0.0052475
                      3,                 3.8547,                 3.2694,                 3.1713,                  5e-05,                0.01655,                  3e-05,                      0,                 5.2924,                 6.6114,                 4.2298,              0.0078416,              0.0078416,              0.0078416
                      4,                 3.3908,                 2.9553,                 2.7992,                0.00012,                0.01683,                 0.0001,                  2e-05,                 5.1599,                 6.5373,                 4.1722,               0.009703,               0.009703,               0.009703
                      5,                 3.1942,                 2.8116,                 2.6631,                0.92967,                0.02798,                 0.0166,                0.00529,                 3.3756,                 5.1667,                 2.8644,               0.009703,               0.009703,               0.009703
                      6,                 3.0118,                 2.6104,                 2.5113,                0.93215,                0.03144,                0.02207,                0.00746,                 3.1603,                 5.2598,                 2.6974,               0.009604,               0.009604,               0.009604
                      7,                 2.9098,                  2.424,                 2.3664,                0.85197,                0.03292,                0.02733,                0.00966,                 3.0941,                  3.356,                  2.672,               0.009505,               0.009505,               0.009505
                      8,                 2.7224,                 2.2323,                 2.2435,                0.87529,                0.04008,                0.03851,                0.01674,                 2.9734,                 3.8162,                  2.773,               0.009406,               0.009406,               0.009406
                      9,                 2.5295,                 2.0286,                 2.0799,                0.86734,                0.03712,                0.04493,                0.02012,                 2.9642,                 3.8318,                 2.8571,               0.009307,               0.009307,               0.009307
                     10,                 2.4575,                 1.9047,                 2.0633,                0.80456,                0.07576,                0.06245,                0.01554,                 3.0284,                 2.8833,                 2.6168,               0.009208,               0.009208,               0.009208
                     11,                 2.3598,                 1.7942,                 1.9563,                0.87895,                 0.0536,                0.06683,                0.02475,                 2.6787,                  2.765,                 2.3203,               0.009109,               0.009109,               0.009109
                     12,                 2.3369,                 1.7093,                 1.8971,                0.81065,                0.08937,                0.09289,                0.03499,                 2.5347,                 2.5063,                 2.2098,                0.00901,                0.00901,                0.00901
                     13,                 2.2247,                 1.5985,                 1.7798,                0.97314,                0.04742,                0.06284,                0.02673,                 2.5498,                 2.6154,                 2.1841,               0.008911,               0.008911,               0.008911
                     14,                 2.2154,                 1.5678,                 1.7491,                0.75323,                0.06519,                0.07726,                0.02722,                 2.6917,                 2.4206,                 2.3453,               0.008812,               0.008812,               0.008812
                     15,                 2.1718,                 1.5006,                 1.7239,                0.85293,                0.06912,                0.08092,                0.03515,                 2.4556,                 2.4858,                 2.1013,               0.008713,               0.008713,               0.008713
                     16,                 2.1248,                  1.452,                 1.6921,                0.80533,                0.11221,                0.11083,                0.04866,                  2.325,                  2.232,                 2.0333,               0.008614,               0.008614,               0.008614
                     17,                 2.1066,                 1.4238,                 1.6495,                0.90902,                0.05364,                0.08672,                0.03558,                 2.4995,                 2.3766,                 2.1399,               0.008515,               0.008515,               0.008515
                     18,                 2.0648,                 1.3574,                 1.6335,                0.71756,                 0.0858,                0.11062,                0.05089,                 2.2277,                 2.1006,                 1.9814,               0.008416,               0.008416,               0.008416
                     19,                 2.0226,                 1.3161,                 1.6096,                0.88658,                0.06945,                 0.1166,                0.04861,                 2.2322,                 2.0711,                 1.9997,               0.008317,               0.008317,               0.008317
