                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 3.2418,                 1.1349,                 1.3793,                0.75409,                0.22161,                0.19514,                 0.0867,                 4.1298,                  1.736,                 1.7347,               0.006634,               0.006634,               0.006634
                     37,                 3.3058,                 1.1104,                 1.3635,                0.71519,                0.20363,                0.17829,                0.08045,                 4.4991,                 1.7547,                 1.7772,               0.006535,               0.006535,               0.006535
                     38,                 3.2842,                 1.1227,                 1.3468,                 0.6921,                0.25405,                0.19021,                0.08387,                 4.2524,                 1.7236,                 1.7511,               0.006436,               0.006436,               0.006436
                     39,                 3.2128,                 1.1065,                 1.3659,                0.72459,                0.22302,                0.19844,                0.08837,                   4.32,                  1.714,                 1.7547,               0.006337,               0.006337,               0.006337
                     40,                 3.1151,                 1.0824,                 1.3343,                0.74894,                0.22125,                0.20221,                0.09248,                 4.2018,                 1.7243,                 1.7463,               0.006238,               0.006238,               0.006238
                     41,                 2.9915,                 1.0828,                 1.3494,                0.75148,                0.22536,                0.19864,                0.08389,                 4.3123,                 1.7406,                  1.742,               0.006139,               0.006139,               0.006139
                     42,                 3.1256,                 1.0714,                 1.3378,                0.76173,                0.22775,                0.19495,                0.08957,                 4.3226,                 1.7302,                 1.7567,                0.00604,                0.00604,                0.00604
                     43,                 3.1725,                 1.0738,                 1.3368,                0.61565,                0.26443,                0.19597,                0.08814,                 4.3533,                 1.7022,                 1.7521,               0.005941,               0.005941,               0.005941
                     44,                 3.1434,                 1.0892,                 1.3617,                0.72517,                0.23504,                0.19121,                0.08542,                 4.5088,                 1.7787,                 1.7752,               0.005842,               0.005842,               0.005842
                     45,                 3.0654,                 1.0722,                  1.323,                0.77421,                0.22701,                0.21597,                0.09927,                 4.2831,                 1.6445,                 1.7147,               0.005743,               0.005743,               0.005743
                     46,                 3.0263,                 1.0546,                  1.329,                0.76476,                0.20458,                0.20485,                0.09376,                 4.1323,                 1.6262,                 1.7046,               0.005644,               0.005644,               0.005644
                     47,                 3.0164,                 1.0468,                 1.3344,                0.63795,                0.22227,                0.20379,                 0.0926,                 4.4029,                 1.6102,                 1.7239,               0.005545,               0.005545,               0.005545
                     48,                  2.829,                 1.0215,                 1.3111,                0.64809,                0.26681,                0.20259,                0.08858,                 4.3199,                 1.6712,                 1.7348,               0.005446,               0.005446,               0.005446
                     49,                  3.012,                 1.0448,                 1.3231,                0.73944,                 0.2231,                0.19553,                0.08715,                 4.4465,                 1.6394,                  1.734,               0.005347,               0.005347,               0.005347
                     50,                 2.9521,                 1.0518,                 1.3182,                0.76258,                0.23439,                0.21351,                0.09522,                 4.0643,                 1.6165,                 1.7267,               0.005248,               0.005248,               0.005248
                     51,                 3.0792,                 1.0818,                 1.3381,                0.64273,                0.25653,                0.21723,                0.10246,                 4.1494,                  1.563,                 1.7082,               0.005149,               0.005149,               0.005149
                     52,                 2.8768,                 1.0207,                 1.3047,                0.82919,                0.20842,                0.24683,                0.11378,                 4.1412,                  1.582,                 1.7087,                0.00505,                0.00505,                0.00505
                     53,                 2.8392,                0.99748,                 1.2978,                0.57938,                0.25853,                0.24553,                0.10562,                 4.2934,                 1.5643,                 1.7258,               0.004951,               0.004951,               0.004951
                     54,                  2.886,                 1.0017,                 1.3015,                0.56946,                0.24721,                0.24264,                0.11557,                 4.1318,                  1.533,                 1.6815,               0.004852,               0.004852,               0.004852
                     55,                 2.8773,                0.99287,                 1.2998,                0.64823,                0.22239,                0.25283,                0.12199,                 3.9715,                 1.5683,                 1.6742,               0.004753,               0.004753,               0.004753
                     56,                 2.8507,                0.98447,                 1.2685,                0.58146,                0.26802,                0.25163,                0.11306,                 4.0261,                 1.5511,                 1.6936,               0.004654,               0.004654,               0.004654
                     57,                 2.8665,                 1.0295,                 1.3086,                0.57198,                0.24934,                0.25531,                0.11233,                 4.3208,                 1.5637,                 1.7212,               0.004555,               0.004555,               0.004555
                     58,                 2.8279,                 1.0043,                 1.2965,                0.57025,                0.26104,                0.24813,                0.11284,                 4.1467,                 1.5696,                 1.7074,               0.004456,               0.004456,               0.004456
                     59,                 2.7841,                0.97906,                 1.2808,                0.54105,                0.26755,                0.26187,                0.11231,                 3.9709,                 1.6057,                 1.7032,               0.004357,               0.004357,               0.004357
                     60,                  2.781,                0.96937,                 1.2915,                0.56717,                0.27473,                0.27183,                0.12221,                  4.164,                 1.5594,                 1.7218,               0.004258,               0.004258,               0.004258
