                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.1822,                 5.3172,                 4.1866,                  1e-05,                 0.0125,                  1e-05,                      0,                 5.2447,                 6.3456,                 4.1456,             0.00018564,             0.00018564,             0.00018564
                      2,                 4.8545,                 4.6307,                 3.9471,                  1e-05,                 0.0125,                  1e-05,                      0,                 5.2282,                 6.2418,                 4.1112,             0.00037467,             0.00037467,             0.00037467
                      3,                 4.2466,                   3.46,                 3.4072,                  9e-05,                0.01477,                  6e-05,                  2e-05,                  5.204,                 6.0058,                 4.0684,             0.00055989,             0.00055989,             0.00055989
                      4,                 3.7197,                 2.7824,                 3.0012,                0.00026,                0.01288,                0.00067,                0.00021,                 5.1433,                 6.4117,                 4.1612,             0.00069279,             0.00069279,             0.00069279
                      5,                 3.3931,                 2.6166,                 2.7748,                0.82025,                0.02118,                0.00964,                0.00373,                 3.8431,                 5.4496,                 3.3907,             0.00069279,             0.00069279,             0.00069279
                      6,                 3.1447,                 2.3774,                 2.5894,                0.84466,                0.03014,                0.02572,                0.00968,                 3.3441,                 4.9279,                 2.9714,             0.00068573,             0.00068573,             0.00068573
                      7,                 3.0147,                 2.3104,                 2.4387,                0.84974,                0.03835,                0.03234,                0.00872,                 3.1886,                 3.0612,                 2.7329,             0.00067866,             0.00067866,             0.00067866
                      8,                 2.9422,                 2.1602,                 2.3769,                0.66007,                0.03866,                0.04156,                 0.0174,                 2.8801,                 2.8987,                  2.489,             0.00067159,             0.00067159,             0.00067159
                      9,                 2.8279,                  2.014,                 2.2605,                0.95615,                0.03774,                0.04319,                0.01774,                 2.9701,                 2.9347,                 2.5029,             0.00066452,             0.00066452,             0.00066452
                     10,                 2.6783,                 1.9203,                 2.2101,                0.72397,                0.04814,                0.05143,                0.02151,                 2.8566,                 2.6898,                 2.4396,             0.00065745,             0.00065745,             0.00065745
                     11,                 2.5664,                  1.815,                 2.1184,                0.76902,                0.05116,                0.05774,                0.02385,                 2.7378,                 2.6185,                 2.3423,             0.00065038,             0.00065038,             0.00065038
                     12,                 2.5349,                 1.7532,                 2.0466,                0.69383,                0.04542,                0.05461,                0.02415,                 2.7292,                 2.5569,                 2.3166,             0.00064331,             0.00064331,             0.00064331
                     13,                 2.4223,                 1.6559,                 1.9482,                0.98026,                0.04112,                0.05201,                0.02536,                  2.656,                 2.5922,                 2.2997,             0.00063625,             0.00063625,             0.00063625
                     14,                 2.4097,                 1.6331,                 1.9146,                0.60962,                0.06894,                0.08088,                0.02974,                 2.5944,                 2.3081,                 2.2616,             0.00062918,             0.00062918,             0.00062918
                     15,                 2.3266,                 1.5874,                 1.8775,                0.42311,                0.07131,                 0.0727,                0.03054,                 2.5637,                 2.3255,                 2.2081,             0.00062211,             0.00062211,             0.00062211
                     16,                 2.3256,                  1.556,                 1.8886,                0.58176,                0.05412,                0.06655,                0.02944,                 2.6308,                 2.5265,                 2.2277,             0.00061504,             0.00061504,             0.00061504
                     17,                 2.2743,                 1.4968,                   1.82,                0.60408,                0.06806,                0.08288,                 0.0352,                 2.4852,                  2.134,                 2.1522,             0.00060797,             0.00060797,             0.00060797
                     18,                 2.2361,                 1.4705,                 1.8021,                0.40054,                0.08155,                0.08107,                 0.0335,                 2.5422,                  2.176,                 2.1553,              0.0006009,              0.0006009,              0.0006009
                     19,                 2.2563,                 1.4311,                 1.8111,                0.41749,                0.09516,                0.09622,                0.03671,                 2.4552,                 2.1513,                 2.1352,             0.00059383,             0.00059383,             0.00059383
                     20,                 2.2033,                  1.379,                 1.7538,                0.34088,                0.10745,                0.09108,                0.03698,                 2.4692,                 2.1597,                 2.1198,             0.00058677,             0.00058677,             0.00058677
                     21,                 2.1654,                 1.3547,                 1.7109,                0.35617,                 0.0981,                0.09771,                0.03702,                  2.437,                 2.1207,                 2.1228,              0.0005797,              0.0005797,              0.0005797
                     22,                  2.098,                 1.3382,                 1.6936,                0.35069,                0.10149,                0.10748,                0.04315,                 2.4034,                 2.0988,                 2.0813,             0.00057263,             0.00057263,             0.00057263
                     23,                 2.1131,                 1.3307,                 1.6708,                0.44717,                0.12109,                0.10484,                 0.0445,                 2.2449,                 1.9584,                 2.0075,             0.00056556,             0.00056556,             0.00056556
                     24,                 2.0493,                 1.2636,                 1.6202,                0.41745,                0.10368,                0.10473,                0.04341,                 2.2761,                 2.0217,                 2.0233,             0.00055849,             0.00055849,             0.00055849
                     25,                 2.0675,                 1.2758,                 1.6327,                0.43294,                0.12183,                0.10295,                0.04206,                  2.352,                 1.9866,                 2.0574,             0.00055142,             0.00055142,             0.00055142
                     26,                 2.0401,                 1.2597,                 1.6404,                0.31927,                0.09952,                 0.1119,                0.04687,                 2.2103,                 1.8999,                 1.9785,             0.00054435,             0.00054435,             0.00054435
                     27,                 2.0283,                 1.2498,                 1.5841,                 0.5361,                0.11776,                0.11146,                0.04858,                 2.2551,                 1.9204,                 2.0004,             0.00053728,             0.00053728,             0.00053728
                     28,                 2.0001,                 1.2224,                 1.5672,                0.53449,                0.10464,                 0.1133,                0.04687,                 2.1911,                 1.8804,                 1.9649,             0.00053022,             0.00053022,             0.00053022
