                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.2148,                 4.7585,                 4.1842,                  2e-05,                  7e-05,                  1e-05,                      0,                 5.2853,                 6.3269,                 4.1514,                 0.0026,                 0.0026,                 0.0026
                      2,                 4.7244,                 3.3862,                 3.7229,                  4e-05,                0.01257,                  3e-05,                  1e-05,                 5.2872,                 6.3374,                  4.168,              0.0052475,              0.0052475,              0.0052475
                      3,                 3.9702,                 2.9241,                 3.0751,                  2e-05,                0.01253,                  1e-05,                      0,                 5.2196,                 6.4867,                 4.1284,              0.0078416,              0.0078416,              0.0078416
                      4,                 3.7399,                 2.8296,                  2.899,                0.92408,                0.02491,                0.01275,                0.00328,                 3.7944,                 4.4116,                 3.2009,               0.009703,               0.009703,               0.009703
                      5,                 3.4641,                 2.6771,                 2.7413,                0.93105,                0.03349,                0.02353,                0.00631,                 3.5796,                 3.9149,                  2.901,               0.009703,               0.009703,               0.009703
                      6,                 3.2495,                 2.8043,                 2.5515,                0.83196,                0.03014,                0.02104,                0.00576,                 3.5859,                 4.3902,                 2.9463,               0.009604,               0.009604,               0.009604
                      7,                 3.0315,                 2.3941,                 2.3807,                0.75729,                0.05034,                0.03249,                0.01224,                 3.2896,                 4.1161,                 2.8207,               0.009505,               0.009505,               0.009505
                      8,                 2.9046,                 2.3064,                 2.2842,                0.75643,                0.07851,                 0.0586,                0.02174,                  2.922,                 3.8101,                 2.4627,               0.009406,               0.009406,               0.009406
                      9,                 2.7622,                 2.1553,                 2.1578,                0.95346,                0.03541,                0.03792,                0.01369,                 2.7572,                 3.2764,                 2.4453,               0.009307,               0.009307,               0.009307
                     10,                 2.6336,                 2.0723,                 2.0913,                0.85253,                  0.051,                0.04646,                0.01501,                 3.0473,                 3.2853,                  2.494,               0.009208,               0.009208,               0.009208
                     11,                 2.5204,                 1.8788,                 1.9848,                0.83874,                0.08662,                0.06792,                0.02296,                 2.8423,                 2.6696,                 2.3754,               0.009109,               0.009109,               0.009109
                     12,                 2.4396,                 1.7448,                 1.8953,                0.87751,                0.04523,                0.05621,                  0.024,                 3.0548,                 3.2128,                 2.4668,                0.00901,                0.00901,                0.00901
                     13,                 2.3927,                 1.5965,                 1.8321,                0.87623,                0.04498,                0.06092,                0.03022,                  2.484,                 2.4719,                 2.1205,               0.008911,               0.008911,               0.008911
                     14,                 2.3195,                 1.5934,                 1.7598,                0.82218,                0.09177,                0.10311,                0.03446,                 2.5545,                 2.3042,                 2.1436,               0.008812,               0.008812,               0.008812
                     15,                 2.2138,                 1.5307,                 1.7108,                 0.8692,                0.04526,                0.08289,                0.03393,                 2.4466,                 2.4523,                 2.1087,               0.008713,               0.008713,               0.008713
                     16,                 2.2315,                 1.4419,                 1.7202,                0.82124,                0.07428,                0.08656,                0.03777,                 2.4175,                 2.2567,                 2.0715,               0.008614,               0.008614,               0.008614
                     17,                 2.1868,                 1.4091,                 1.6601,                0.74473,                0.09327,                0.08982,                0.03766,                 2.4248,                 2.2978,                 2.0935,               0.008515,               0.008515,               0.008515
                     18,                 2.1225,                 1.3774,                 1.6366,                0.64005,                0.12772,                  0.117,                0.04838,                 2.3352,                 2.0335,                 1.9768,               0.008416,               0.008416,               0.008416
                     19,                 2.0942,                 1.3517,                 1.6263,                0.64076,                0.13186,                 0.1268,                0.05223,                 2.2758,                 1.9213,                 1.9812,               0.008317,               0.008317,               0.008317
