                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.044,                 3.4232,                 3.5619,                  3e-05,                0.01257,                0.00015,                  3e-05,                 5.2612,                 6.5621,                 4.1622,                 0.0026,                 0.0026,                 0.0026
                      2,                 3.1982,                 2.6876,                 2.6319,                0.00121,                0.02863,                0.00087,                 0.0002,                 3.8119,                  5.654,                 3.2936,              0.0042506,              0.0042506,              0.0042506
                      3,                  3.019,                 2.3142,                 2.2854,                0.93082,                 0.0209,                0.01409,                0.00454,                 3.6471,                 3.8382,                 2.9392,               0.004832,               0.004832,               0.004832
                      4,                 2.8665,                 2.1592,                  2.088,                0.62676,                0.01625,                0.01277,                0.00437,                 3.2159,                 4.3204,                 2.7894,                0.00406,                0.00406,                0.00406
                      5,                 2.8179,                 2.0606,                 2.0844,                0.65013,                0.03432,                 0.0373,                0.01235,                 2.8253,                 2.8295,                  2.324,                0.00406,                0.00406,                0.00406
